who_am_i,Cluster
a dc hater kind of,4
a proud armenian,4
a mr. [teacher name] hater,4
a minor,4
a kid who is good at math,4
a kid who is good at math,4
a person,1
a marvel and star wars fan,4
a very nonathletic person,1
a pokemon fan,4
a pokemon fan,4
a zelda fan,4
a zelda fan,4
a dude,4
a person,1
a mathia user,4
i am a female,4
i am one who can get overwhelmed and stressed at times,4
"i am someone who really likes dinosaurs and dragons, and art",4
"i am someone who really likes dinosaurs and dragons, and art",4
"i am an extrovert, and do not like being alone for extended periods of time",0
"i am an extrovert, and do not like being alone for extended periods of time",0
i am someone who can get stressed if i answer a question wrong,4
"i am one who likes talking, a lot",4
"i am one who likes talking, a lot",4
i am someone who can get un-motivated by a topic if i find it too boring,4
i am someone who has adhd,4
i am someone who can have trouble sleeping from anxiety,4
i am someone who tries to keep my grades up,4
i am someone who enjoys math and science,4
i am someone who enjoys math and science,4
i am someone who can get stressed over deadlines,4
i am someone who can get nervous for asking for help,4
i am someone who likes to animate,4
i am someone who likes to animate,4
i am someone who can sometimes get distracted,4
"i am someone who is trusting, unless you break it",4
i am someone who can forget simple things often,4
"i am someone who likes being active, if its nice out and i'm in the mood",4
"i am someone who likes being active, if its nice out and i'm in the mood",4
i am someone who likes to listen to music and daydream at the same time,4
i am someone who likes to listen to music and daydream at the same time,4
"i am myself, unique, and me.",4
a girl,0
kind,4
eager to learn,4
dancer,4
actress,4
vocalist,4
scientist-to-be,4
scientist-to-be,4
a dream pharmacist,4
people person,1
energetic,4
helpful,4
artist,4
thinker,4
friendly,4
interesting,4
welcoming,4
tired,4
water-drinker,4
influenced person,1
funny,4
i am a girl.,0
i am a 7th grader,4
i am a 7th grader,4
i am a 7th grader,4
i am haitian.,4
i am next to [first name].,4
i am a person on the [school name] track team.,1
i am an older sister.,4
i am an older sister.,4
i am a person whos always near a friend.,1
i am always hungry.,4
i am trying to become a nurse.,4
i am trying to get into a good college.,4
i am a person who gets mad over small things.,1
i am who loves hygiene.,4
i am good friend.,4
i am good friend.,4
i am a person who likes trying to new things.,1
i am a person who loves anything oreo.,1
i am a person who trys hard.,1
i am a person who trys hard.,1
i am mean to my classmates.,4
i am a person who is mean to [first name].,1
i am a calm person.,1
i am a calm person.,1
i am a person who needs a pencil all the time.,1
im a good listener,4
im kind,4
im respectful,4
im nice,4
i like donuts,3
i like food,0
i like being on my phone,0
i like being on my phone,0
i like to be in my bed,0
i like to be in my bed,0
i like doing my mathia with my math teacher,0
i like doing my mathia with my math teacher,0
my favorite class to be in is my math class,0
my favorite class to be in is my math class,0
i love wearing sweaters,0
my birthday is in [date],4
i got 2 dogs,4
i got 1 bird,4
im [student first + middle + last name],2
i love traveling,0
i love wearing comfy clothes,0
i like doodling on my paper,3
i like doodling on my paper,3
i like playing soccer,0
i like playing soccer,0
i like takis,0
i am a 7th grade student,2
i am a 7th grade student,2
i am a girl,0
i am the oldest,4
i am kind,4
"i am vietnamese, chinese, and american",4
"i am vietnamese, chinese, and american",4
i am a bookworm,4
i am tired,4
i am artistic,4
i am quiet.....most times,4
i am an honors student,2
i am an honors student,2
i am an older sister to two brothers,4
i am an older sister to two brothers,4
i am sleepy,4
i am unsure of what to write next,4
i am not tall or short,4
i am prepared,4
i am forgetful,4
i am typing hurridly,4
i am smart,4
i am an animal lover,4
i am not a person who curses frequently,1
i am from africa,4
i am a soccer and basketball player,4
i am the oldest sibling,4
i am originally from [country] (north africa),4
i am a youtuber with 180+ subs,4
i am a youtuber with 180+ subs,4
i am muslim,4
i am 12,4
i am a fortnite kid,4
i am almost done with mathia,4
i am almost done with the whole lexia grammar,4
i am that guy,4
i am a true friend,4
i am better than [initials] at basketball,4
i am a pro gamer,4
i am a math star,4
i am a math star,4
i am looking at [first name],4
i am about to leave math class,0
i am a fighter,4
i am skinny,4
i am not fat,4
i am a child,4
i am a child,4
i am a seventh grader,4
i am a seventh grader,4
i am a girl,0
i am a human,4
i am haitian,4
i am the youngest of the family,4
i am a christian,4
i am someone who wants better grades,4
i am someone who wants better grades,4
i am someone who likes to take care of babies,4
i am someone who likes to take care of babies,4
i am someone who likes to help others,4
i am someone who likes pink.,4
i am someone who thinks module 5 is better than the rest,4
i am someone who thinks the mathia robot is a boy,4
i am someone who likes to swim,4
i am someone who likes oversized clothing,4
i am someone who is turning into a responsible big kid.,4
i am someone who is turning into a responsible big kid.,4
i am someone who is turning into a responsible big kid.,4
i am someone who likes cats,4
i am someone who likes volleyball,4
i am someone who likes volleyball,4
i am someone who likes water,4
i am someone who got 3rd place in a spelling bee at elementary.,4
11 years old,4
6th grader,4
6th grader,4
a person who likes drama club,1
a person who likes drama club,1
someone who enjoy's singing,4
someone who enjoy's singing,4
i like helping out,0
i like helping out,0
someone whose favorite color is pink,4
someone who enjoys watching shows,4
someone who enjoys watching shows,4
someone who who enjoys movies,4
someone who who enjoys movies,4
someone who enjoys books,4
someone who enjoys books,4
i like doing art,0
i like doing art,0
someone who enjoys doing nail art for fun,4
my hobby is crocheting,4
i'm going to be 12 later on this year,4
i like having fun with my friends,0
i like having fun with my friends,0
i like having fun with my friends,0
i like having fun with my family,0
i like having fun with my family,0
i have a pretty large family,4
i love going on vacation,0
i am someone who enjoys going shopping,4
i am someone who enjoys going shopping,4
i like having fun with my cousins,0
i like having fun with my cousins,0
i like having fun with my cousins,0
i enjoy going to places with family and friends.,4
i enjoy going to places with family and friends.,4
i enjoy going to places with family and friends.,4
i enjoy going to places with family and friends.,4
i am a seventh grade student.,2
i am a seventh grade student.,2
i am a seventh grade student.,2
i love to play basketball.,0
i love to play basketball.,0
my favorite color would be red.,4
i am haitian.,4
i am also dominican.,4
my favorite subject would have to be ela or math.,4
my favorite subject would have to be ela or math.,4
i would say i am pretty athletic.,4
i have big goals/dreams.,4
i am next to [first name].,4
i go by she/her,4
i would say i'm smart i just get confused.,4
my all time food would be black rice.,4
i hope to achieve my goals when i'm older.,4
i am 13 years old.,4
i am a big sister and a little sister.,4
i am a big sister and a little sister.,4
i have 4 other siblings.,4
i love cooking.,0
people say i don't look my age.,4
i'm tall.,4
i am confident sometimes.,4
[student first name],2
student,2
baskeball player,4
a child,4
a child,4
i am a 6 grade student,2
i am a 6 grade student,2
i am a 6 grade student,2
i am mw2 player,4
i enjoy playing games.,4
i enjoy playing games.,4
i enjoy buying shoes.,4
i am 11.,4
i like playing basketball.,0
i like playing basketball.,0
i like riding my electric scooter.,0
i like playing games with my friends.,0
i like playing games with my friends.,0
i like playing games with my friends.,0
i like talking to my friends.,0
i like talking to my friends.,0
i like shoes.,0
"i enjoy riding on my bike,",4
"i enjoy riding on my bike,",4
i like eating pizza.,0
i like swimming.,0
i like swimming.,0
im healthy.,4
i like drinking water.,0
i like to go in my trampoline.,0
i like to go in my trampoline.,0
i'm a 7th grade student,2
i'm a 7th grade student,2
i go to [school name] middle school,4
i go to [school name] middle school,4
i am in the band and jazz band.,4
i am an the oldest in my family.,4
i'm a gamer,4
i own two dogs,4
i'm catholic,4
i'm not a fan of school,4
i'm someone who sleeps rather late,4
i'm quite smart,4
i'm part irish with a little bit of portuguese blood.,4
i'm myself,4
i'm someone who enjoys a lot of sports.,4
i'm no one else,4
i'm apart of the nation juniors honor society,4
i'm apart of the nation juniors honor society,4
i'm in a large group of people that i can truly call friends,4
i'm someone who has manners,4
i'm someone who jokes around sometimes,4
i am unsure what to write next.,4
i am someone who can get distracted easily.,4
i am a student in the [school name] middle school.,2
i am a student in the [school name] middle school.,2
i am kind to a lot of people.,4
i am very caring to everyone.,4
i am very thoughtful.,4
i am nice to everyone.,4
i put my needs before everyone's elses.,4
i put my needs before everyone's elses.,4
i am respectful.,4
i am intelligent.,4
i am nice to the teachers.,4
i am very smart.,4
i am happy.,4
i am where i belong.,4
i am protected.,4
i am happy.,4
i am loved.,4
i am responsible.,4
i am creative.,4
i am artistic.,4
i am loyal.,4
i am very excited for this test.,4
a student,2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
a student,2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
[student first name],2
a daydreamer.,4
a very creative person.,1
a very creative person.,1
lost in thought often.,4
very pretty!,4
a forgetful girl.,0
a forgetful girl.,0
a flower lover,4
the sun of somebody's day,4
sometimes one thing sometimes another.,4
tired all the time.,4
"someone i dont know yet,",4
a lover of horror games.,4
[first name].,4
a person with interest in psychology.,1
an author.,4
someone who wants an older sister.,4
someone who wants an older sister.,4
colorful.,4
saved.,4
"a person whos sometimes confident,",1
a book reader.,4
a person i don't want to be.,1
[student first name],2
skincare ambassador,4
a 12 year old,4
a baker,4
am a biker,4
i am a gta player,4
i am walker,4
i am a smart person,1
i am a sibling,4
i am a hard worker,4
i am a person,1
i am a math person,1
i am a math person,1
i am a science person,1
i am a science person,1
i am a ela person,1
a person that draws,1
i am a person that like to write,1
i am a person that like to write,1
i am a sketch,4
i am a person that like shoes,1
i am a person that like shoes,1
i am a person that does not like school,1
i am a person that like to play basket ball,0
i am a person that like to play basket ball,0
an athlete,4
a trustworthy person,1
a respectful student,2
a respectful student,2
a son,4
a son,4
a brother,4
a brother,4
a role model,4
a soccer player,4
a captain,4
i am competitive,4
i am easily angered,4
i am forever loved,4
i am buff,4
i am masculine,4
i am amazing,4
i am wonderful,4
i am the best me,4
i am the best me,4
i am special,4
i am able to do anything if i try,4
i am capable,4
i am me,4
him,4
cool,4
nice,4
friendly,4
black,4
fun,4
child,4
child,4
kid,4
kid,4
fine,4
boy,4
i love math,0
i love math,0
so,4
word,4
smart,4
basketball,4
football,4
tall,4
taken,4
i like dogs,0
i like cats,0
smart,4
kind,4
believer,4
pretty,4
respectful,4
fashionist,4
short,4
singer,4
dancer,4
generous,4
young,4
talkative,4
thinker,4
helpful,4
uncalm,4
funny,4
fun loving,4
sassy,4
actress,4
actress,4
translating,4
i am a 7th grader,4
i am a 7th grader,4
i play softball for the [team name],4
i play softball for the [team name],4
i am 13years old,4
i am an only child,4
i am a bestfriend,4
i am funny,4
i am good with kids,4
i love mint chocolate chip ice cream,0
i am a daughter,4
i am a daughter,4
i am always sleepy,4
i am philopena and puerto rican,4
i like to draw,0
i like to draw,0
my favorite subject is history,4
my favorite subject is history,4
my favorite subject is history,4
i am like .5% hawaiian,3
i have two cats,4
i love to go on walks,0
i love to go on walks,0
i love shopping,0
i love shopping,0
i love eating,0
i love eating,0
i am cool,4
i am a sweet and salty person,1
a child,4
a girl,0
a baker,4
a student,2
a best friend,4
a sister,4
a sister,4
a dog owner,4
a friend,4
a sneaker head,4
a stylest,4
a latio,4
a helper,4
a fan,4
a typer,4
a book worm,4
a 12 yearold,4
a smartie,4
my favorite color is pink almost everything i own is pink.,4
i'm brazilian.,4
i am an overthinker at times.,4
i do dance.,4
i am a girl.,0
i workout every week.,4
my favorite food is rice.,4
i have glasses.,4
my hair is dyed to be pink but now is blonde.,4
i speak portuguese.,4
i'm not athletic,4
i like writing.,0
i like writing.,0
i'm not strong in math,4
i am more strong in english.,4
i am more strong in english.,4
pronouns are she/her.,4
i'm straight.,4
i stress a lot over little things.,4
i'm hard on myself.,4
i get nervous.,4
i was stressed about answering these questions.,4
human,4
grown kid,4
someone,4
person,1
somebody,4
kid,4
kid,4
someone you don't know,4
girl,0
lady,4
somebody you don't know,4
woman,4
student,2
someone you will or not meet,4
not a monster,4
not an animal,4
somebody you will or not meet,4
not an alien,4
normal kid,4
normal kid,4
normal kid,4
little kid,4
little kid,4
normal human,4
normal human,4
smart,4
strong,4
confident,4
brave,4
kindly,4
tall,4
confident,4
respectful,4
young,4
handsome,4
playful,4
anoying sometimes,4
patient,4
participater,4
sportful,4
focus,4
courage,4
anime watcher,4
motivator,4
i love every class,0
i am a video game developer,4
i am a 6th grader in [school name],4
i am a 6th grader in [school name],4
i am a 6th grader in [school name],4
i am a person that plays video games,1
i am somebody who completed lexia early.,4
i am somebody that finished mathia early,4
i am brave,4
i am somebody that is in [honor society name],4
i am somebody that is frustrated with mathstream.,4
i am somebody that enjoys math.,4
i am somebody that enjoys math.,4
i am someone that loves reading.,4
i am someone that loves reading.,4
i am somebody that loves speaking my mind about problems.,4
i am somebody that loves speaking my mind about problems.,4
i am somebody that won an eversource challenge,4
i am somebody that finished cub scouts,4
i am somebody that got [ranking] place in the pinewood derby,4
i am somebody who has an amazing family,4
i am funny.,4
i am someone that is distracted easily,4
i am someone that has awesome friends.,4
i am somebody that is extremely curious in science.,4
i am somebody that loves lots of music.,4
i am somebody that loves lots of music.,4
i 'am smart,4
i' am calm,4
i 'am tall,4
i'am funny,4
i'am like sports,0
i'am like gril,3
i 'dont like to listen,0
i like  play soccer,0
i like  play soccer,0
"i, like shoes",0
i love my sicience class,0
i love my sicience class,0
i'm pretty,4
i'm beliver,4
"i,m like phone",0
"i,m like eat",0
"""i'm like music",0
"i,m like christiano ronaldo",3
"i,m like cardi b",3
"i,m like hati foods",0
"i,m like wachtings movies",0
"i,m like wachtings movies",0
"i,m like gentil",3
a boy,4
a base ball player,4
a kid,4
a kid,4
i want to be a author,4
i think i am funny,4
happy,4
a person,1
a math guy,4
a math guy,4
a ela guy,4
i like to draw,0
i like to draw,0
i to play video games,0
i like to play with my friends,0
i like to play with my friends,0
i like to play with my family,0
i like to play with my family,0
i only drink water,4
i really like fries,0
i really like bacon,0
i really like breakfast food,0
i really like brunch,0
i like amusement parks,0
i like super hero's (spider man,0
i am young black girl.,4
i am young black girl.,4
i am young black girl.,4
i am a student at [school name] middle school.,2
i am a student at [school name] middle school.,2
i am cape verden.,4
i'm someone who loves to dance.,4
i'm someone who loves to dance.,4
i'm someone who wants [city name of school] to be a better place.,4
i am someone who loves my family,4
i am someone who loves my family,4
i am a hardworking young girl,4
i am a hardworking young girl,4
i am a hardworking young girl,4
i am someone who has good grades,4
i am someone who would love to be a better person and just have a good life with being me.,4
i am someone who would love to be a better person and just have a good life with being me.,4
i am someone who is emotional.,4
i am someone who likes basketball.,4
i am someone who likes being alone.,4
i am someone who would do anything to save the people important in my life.,4
i am someone who would do anything to save the people important in my life.,4
i am someone who is a big sister maybe not the best but i am a sister.,4
i am someone who is a big sister maybe not the best but i am a sister.,4
i am someone who likes to help people,4
i am someone who wants everyone to be peaceful.,4
"i am a daughter, cousin, sister.",4
"i am a daughter, cousin, sister.",4
i am someone who wants to have fame,4
"i am someone who is active, and energetic.",4
"i am someone who loves people, clothes, shoes, and once i heard the question who am i, i didn't know but i finally found my true self.",4
"i am someone who loves people, clothes, shoes, and once i heard the question who am i, i didn't know but i finally found my true self.",4
student,2
kind,4
respectful,4
responsible,4
loyal,4
cv,4
hardworking,4
smart,4
caring,4
creative,4
a kid,4
a friend,4
a daughter,4
a daughter,4
nice,4
brave,4
achiever,4
listener,4
leader,4
awesome,4
intelligent,4
artistic,4
kind,4
funny,4
nice,4
friendly,4
boring,4
short,4
smart,4
a person,1
not tall,4
white,4
american,4
germen,4
irish,4
british,4
portuguese,4
ukrainian,4
blind,4
i like the dallas mavericks,3
i like luka doncic,3
gymnast,4
i am a student at the [school name] middle school in [city name].,4
i am a student at the [school name] middle school in [city name].,4
dancer,4
flexible with my back.,4
kind,4
i am an honors student.,2
i am an honors student.,2
i love the warm weather and summer.,0
honest,4
responsible,4
i am a hard worker.,4
i love swimming.,0
i love swimming.,0
i love the beach,0
i am exided for the interview.,4
i love doing dance and gymnastics.,0
i love doing dance and gymnastics.,0
i love doing dance and gymnastics.,0
loyal,4
i love cookie dough.,0
i love coking.,0
i love coking.,0
i love baking.,0
my favorite color is purple.,4
my favorite drink is water.,4
i am a athlete,4
i am a guy,4
i am a middle schooler,4
i am a middle schooler,4
i am a child,4
i am a gamer,4
i am a wrestler,4
i am a singer,4
i am a theater person,1
i am a candy person,1
i am a kind guy,4
i am a kind guy,4
i am a artist,4
i am a reader,4
i am a talker,4
i am caring,4
i am active,4
i am a yard work guy,4
i am a yard work guy,4
i am a summer guy,4
i am a summer guy,4
i am a pool guy,4
i am a pool guy,4
i am a band guy,4
i am a band guy,4
i am a gym guy,4
i am a gym guy,4
i like fortnite,0
i like fortnite,0
i play warzone,4
i play soccer,4
my favorite player is ronaldo,4
i'm black,4
im from haiti,4
my name is [first name] people call me [nickname/first name],4
i like girl not boy,0
nobody love me,0
i like baskettball,3
i think lebron james is good,4
i have a lot of hair,4
my favorite color is red and black,4
im 13,4
im nice sometime,4
i like school,0
i like school,0
i have a ps4,4
i like math,0
i like math,0
im good at math,4
im good at math,4
i like fufu,3
i am a male,4
i am white,4
i am 12,4
i am a student at [middle school name],2
i am a sixth grader,4
i am a sixth grader,4
i am a sixth grader,4
i am a only child,4
i like to cook,0
i like to cook,0
i like to ride dirt bikes,0
i like to ride dirt bikes,0
