stu_id,answer_rank,who_am_i,code,valence,year
stu_DYWGH4533N,5,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,15,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,15,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,7,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,7,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,2,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,2,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,1,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,1,I am a black girl,2.0,girl,2021-2022
stu_DYWGH4533N,10,I am a black girl,6.0,black,2021-2022
stu_DYWGH4533N,10,I am a black girl,2.0,girl,2021-2022
stu_EPPBQ3873F,5,I am quater Japanese,7.0,japanese,2021-2022
stu_EPPBQ3873F,20,Im am man,2.0,man,2021-2022
stu_EPPBQ3873F,13,I am trying to learn a new language,31.0,neutral,2021-2022
stu_EPPBQ3873F,6,I am Greman,7.0,german,2021-2022
stu_EPPBQ3873F,19,I am goodish at drawing,26.0,positive,2021-2022
stu_EPPBQ3873F,3,A star wars nerd,22.0,nerd,2021-2022
stu_EPPBQ3873F,10,I am someone with long hair I am someone who likes to cosplay,35.0,neutral,2021-2022
stu_EPPBQ3873F,10,I am someone with long hair I am someone who likes to cosplay,24.0,positive,2021-2022
stu_EPPBQ3873F,10,I am someone with long hair I am someone who likes to cosplay,31.0,positive,2021-2022
stu_EPPBQ3873F,11,I am not good with social interactions,45.0,negative,2021-2022
stu_EPPBQ3873F,8,I am somone that dosent like to read,25.0,negative,2021-2022
stu_EPPBQ3873F,8,I am somone that dosent like to read,24.0,negative,2021-2022
stu_EPPBQ3873F,16,I am an anime fan,24.0,positive,2021-2022
stu_EPPBQ3873F,14,I am not good at fashion,30.0,negative,2021-2022
stu_EPPBQ3873F,9,I am a theme park nerd,22.0,nerd,2021-2022
stu_EPPBQ3873F,18,I am a bad at talking to new people,44.0,negative,2021-2022
stu_EPPBQ3873F,4,a mostly A grade student,25.0,neutral,2021-2022
stu_EPPBQ3873F,4,a mostly A grade student,14.0,neutral,2021-2022
stu_EPPBQ3873F,17,I am an ok cook,31.0,neutral,2021-2022
stu_EPPBQ3873F,12,I am not very good at sports,29.0,neutral,2021-2022
stu_EPPBQ3873F,7,i am somtimes smart,43.0,positive,2021-2022
stu_EPPBQ3873F,15,I am a Marvel fan,24.0,positive,2021-2022
stu_EPPBQ3873F,2,funny sometimes,44.0,positive,2021-2022
stu_EPPBQ3873F,1,[FIRST & LAST NAME],5.0,none,2021-2022
stu_FRYMF1735S,12,I like tennis,24.0,positive,2021-2022
stu_FRYMF1735S,15,I like going on vacations.,31.0,positive,2021-2022
stu_FRYMF1735S,15,I like going on vacations.,24.0,positive,2021-2022
stu_FRYMF1735S,17,I love listening to classical music,26.0,positive,2021-2022
stu_FRYMF1735S,17,I love listening to classical music,24.0,positive,2021-2022
stu_FRYMF1735S,14,I like swimming,29.0,positive,2021-2022
stu_FRYMF1735S,14,I like swimming,24.0,positive,2021-2022
stu_FRYMF1735S,16,I am a triliguist.,22.0,trilingual,2021-2022
stu_FRYMF1735S,13,I hate running,29.0,negative,2021-2022
stu_FRYMF1735S,13,I hate running,24.0,negative,2021-2022
stu_FRYMF1735S,6,I am extroverted.,44.0,neutral,2021-2022
stu_FRYMF1735S,19,"I like consider myself smart, although I'm not sure.",43.0,positive,2021-2022
stu_FRYMF1735S,10,I enjoy eating food.,24.0,positive,2021-2022
stu_FRYMF1735S,7,I am a lover of the arts.,25.0,positive,2021-2022
stu_FRYMF1735S,7,I am a lover of the arts.,24.0,positive,2021-2022
stu_FRYMF1735S,5,I identify as a heterosexual female.,3.0,female,2021-2022
stu_FRYMF1735S,5,I identify as a heterosexual female.,1.0,heterosexual,2021-2022
stu_FRYMF1735S,8,I am a writer.,26.0,neutral,2021-2022
stu_FRYMF1735S,3,I am Moroccan-Italian.,7.0,moroccan-italian,2021-2022
stu_FRYMF1735S,1,I identify as female.,1.0,female,2021-2022
stu_FRYMF1735S,20,I am young,4.0,young,2021-2022
stu_FRYMF1735S,2,I identify as North African-American.,7.0,north african-american,2021-2022
stu_FRYMF1735S,4,I am funny.,46.0,positive,2021-2022
stu_FRYMF1735S,11,I enjoy doing mathematics.,25.0,neutral,2021-2022
stu_FRYMF1735S,11,I enjoy doing mathematics.,24.0,positive,2021-2022
stu_FRYMF1735S,18,I like watching television.,27.0,neutral,2021-2022
stu_FRYMF1735S,18,I like watching television.,24.0,positive,2021-2022
stu_FRYMF1735S,9,I am a student.,14.0,neutral,2021-2022
stu_HDDFY3165H,14,I am all out of pencils. Please lend me some.,47.0,negative,2021-2022
stu_HDDFY3165H,5,I am a blonde.,35.0,neutral,2021-2022
stu_HDDFY3165H,3,I'm a 13 year old,4.0,13,2021-2022
stu_HDDFY3165H,17,I am [CHARACTER NAME] in the play.,26.0,neutral,2021-2022
stu_HDDFY3165H,16,I am a student.,14.0,neutral,2021-2022
stu_HDDFY3165H,7,I am a great volleyball player and softball player.,29.0,positive,2021-2022
stu_HDDFY3165H,19,I am person who was not prepared to explore their identity for a 5$ amazon giftcard.,47.0,negative,2021-2022
stu_HDDFY3165H,12,I am a trail runner.,29.0,neutral,2021-2022
stu_HDDFY3165H,18,"I am a gemini, therefor I have an amazing personality.",45.0,positive,2021-2022
stu_HDDFY3165H,18,"I am a gemini, therefor I have an amazing personality.",22.0,gemini,2021-2022
stu_HDDFY3165H,1,I am an athlete?,29.0,neutral,2021-2022
stu_HDDFY3165H,11,I am a girl.,2.0,girl,2021-2022
stu_HDDFY3165H,9,I am a person scared about moving.,47.0,negative,2021-2022
stu_HDDFY3165H,4,I am a person confused about this survey.,47.0,neutral,2021-2022
stu_HDDFY3165H,8,I am broke.,34.0,poor,2021-2022
stu_HDDFY3165H,13,I am happy.,45.0,positive,2021-2022
stu_HDDFY3165H,6,I am an artist and performer.,26.0,neutral,2021-2022
stu_HDDFY3165H,15,I am a walking dad joke dispenser.,45.0,neutral,2021-2022
stu_HDDFY3165H,2,I'm [FIRST NAME],5.0,none,2021-2022
stu_HDDFY3165H,10,I am a member of my community.,22.0,not sure,2021-2022
stu_HDDFY3165H,20,I am feeling very accomplished for finishing this survey.,47.0,positive,2021-2022
stu_HSPMF9210Q,7,Cool kid,46.0,positive,2021-2022
stu_HSPMF9210Q,7,Cool kid,4.0,kid,2021-2022
stu_HSPMF9210Q,7,Cool kid,22.0,kid,2021-2022
stu_HSPMF9210Q,2,[CLASSMATE'S FIRST & LAST NAME]'s plug,10.0,positive,2021-2022
stu_HSPMF9210Q,6,[FIRST NAME INITIAL]-W69,5.0,none,2021-2022
stu_HSPMF9210Q,4,[FIRST NAME INITIAL & LAST NAME],5.0,none,2021-2022
stu_HSPMF9210Q,13,[FIRST NAME & LAST INITAL],5.0,none,2021-2022
stu_HSPMF9210Q,17,[VARIATION OF NAME],5.0,none,2021-2022
stu_HSPMF9210Q,3,NBA Lil [NAME INITIAL],5.0,none,2021-2022
stu_HSPMF9210Q,10,[FIRST & LAST NAME],5.0,none,2021-2022
stu_HSPMF9210Q,20,[VARIATION OF NAME],5.0,none,2021-2022
stu_HSPMF9210Q,8,[POPULAR VIDEO GAME],48.0,none,2021-2022
stu_HSPMF9210Q,19,[VARIATION OF NAME],5.0,none,2021-2022
stu_HSPMF9210Q,9,[FIRST NAME],5.0,none,2021-2022
stu_HSPMF9210Q,15,[POPULAR VIDEO GAME],28.0,neutral,2021-2022
stu_HSPMF9210Q,14,[FIRST INITIAL & LAST NAME],5.0,none,2021-2022
stu_HSPMF9210Q,18,[VARIATION OF NAME],5.0,none,2021-2022
stu_HSPMF9210Q,1,[CLASSMATE'S FIRST & LAST NAME]'s mom,48.0,none,2021-2022
stu_HSPMF9210Q,5,The Big [FIRST NAME INITIAL],5.0,none,2021-2022
stu_HSPMF9210Q,16,[INTERNET USERNAME],27.0,neutral,2021-2022
stu_HSPMF9210Q,16,[INTERNET USERNAME],5.0,none,2021-2022
stu_HSPMF9210Q,11,[FIRST & LAST NAME],5.0,none,2021-2022
stu_HSPMF9210Q,12,[FIRST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,2,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,17,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,15,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,5,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,3,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,6,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,14,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,19,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,4,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,8,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,9,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,7,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,11,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,10,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,16,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,12,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,13,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,18,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,1,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_IJDRZ1838Q,20,I am [FIRST & LAST NAME],5.0,none,2021-2022
stu_ISMGM5117Q,7,I am not mean,44.0,positive,2021-2022
stu_ISMGM5117Q,16,....,48.0,none,2021-2022
stu_ISMGM5117Q,2,I like science,25.0,positive,2021-2022
stu_ISMGM5117Q,2,I like science,24.0,positive,2021-2022
stu_ISMGM5117Q,1,I am a human,21.0,none,2021-2022
stu_ISMGM5117Q,20,....,48.0,none,2021-2022
stu_ISMGM5117Q,19,....,48.0,none,2021-2022
stu_ISMGM5117Q,10,I don't know,20.0,none,2021-2022
stu_ISMGM5117Q,8,I like being human,24.0,positive,2021-2022
stu_ISMGM5117Q,8,I like being human,21.0,human,2021-2022
stu_ISMGM5117Q,12,...,48.0,none,2021-2022
stu_ISMGM5117Q,9,I am a kid,4.0,child,2021-2022
stu_ISMGM5117Q,17,....,48.0,none,2021-2022
stu_ISMGM5117Q,18,....,48.0,none,2021-2022
stu_ISMGM5117Q,4,I am a soccer player,29.0,neutral,2021-2022
stu_ISMGM5117Q,5,I am considered athletic,29.0,neutral,2021-2022
stu_ISMGM5117Q,11,I don't know,20.0,none,2021-2022
stu_ISMGM5117Q,3,I was in math academy,25.0,neutral,2021-2022
stu_ISMGM5117Q,14,......,48.0,none,2021-2022
stu_ISMGM5117Q,6,I am in middle school,22.0,middleschooler,2021-2022
stu_ISMGM5117Q,6,I am in middle school,14.0,neutral,2021-2022
stu_ISMGM5117Q,13,.....,48.0,none,2021-2022
stu_JYAJW1106C,12,a fisherman,31.0,neutral,2021-2022
stu_JYAJW1106C,8,a kid,22.0,kid,2021-2022
stu_JYAJW1106C,8,a kid,4.0,kid,2021-2022
stu_JYAJW1106C,5,an aisian,6.0,asian,2021-2022
stu_JYAJW1106C,11,a [POPULAR VIDEO GAME] player,28.0,neutral,2021-2022
stu_JYAJW1106C,10,a football kid,29.0,neutral,2021-2022
stu_JYAJW1106C,10,a football kid,4.0,kid,2021-2022
stu_JYAJW1106C,3,a human,21.0,none,2021-2022
stu_JYAJW1106C,4,a friend,10.0,neutral,2021-2022
stu_JYAJW1106C,16,,48.0,none,2021-2022
stu_JYAJW1106C,2,at [SCHOOL NAME],14.0,neutral,2021-2022
stu_JYAJW1106C,1,an 8th grader,14.0,neutral,2021-2022
stu_JYAJW1106C,6,a gamer,28.0,neutral,2021-2022
stu_JYAJW1106C,19,,48.0,none,2021-2022
stu_JYAJW1106C,17,,48.0,none,2021-2022
stu_JYAJW1106C,14,,48.0,none,2021-2022
stu_JYAJW1106C,9,a teen,22.0,teenager,2021-2022
stu_JYAJW1106C,7,a playa,44.0,neutral,2021-2022
stu_JYAJW1106C,15,,48.0,none,2021-2022
stu_KGGVG8695W,6,I'm Korean,7.0,korean,2021-2022
stu_KGGVG8695W,9,I'm a cracked fortnite gamer,28.0,positive,2021-2022
stu_KGGVG8695W,3,I'm a friend of [FIRST NAME],10.0,neutral,2021-2022
stu_KGGVG8695W,8,I'm [FIRST NAME],5.0,none,2021-2022
stu_KGGVG8695W,1,I'm human,21.0,none,2021-2022
stu_KGGVG8695W,7,I'm Asian,6.0,asian,2021-2022
stu_KGGVG8695W,4,I'm [NAME INITIALS]'s friend,10.0,neutral,2021-2022
stu_KGGVG8695W,11,Im a mathematician,25.0,neutral,2021-2022
stu_KGGVG8695W,12,Im an architectural designer,26.0,neutral,2021-2022
stu_KGGVG8695W,12,Im an architectural designer,25.0,neutral,2021-2022
stu_KGGVG8695W,20,,48.0,none,2021-2022
stu_KGGVG8695W,5,I'm a playa,44.0,neutral,2021-2022
stu_KGGVG8695W,2,I'm in [SCHOOL NAME],14.0,neutral,2021-2022
stu_KGGVG8695W,18,,48.0,none,2021-2022
stu_KGGVG8695W,10,Im a duck,48.0,none,2021-2022
stu_MMPEO7609Y,6,outside and inside guy,44.0,neutral,2021-2022
stu_MMPEO7609Y,9,computer science/coding,27.0,neutral,2021-2022
stu_MMPEO7609Y,8,2 languages,22.0,bilingual,2021-2022
stu_MMPEO7609Y,11,love to try foods from other cultures,31.0,positive,2021-2022
stu_MMPEO7609Y,11,love to try foods from other cultures,24.0,positive,2021-2022
stu_MMPEO7609Y,18,watching basketball,47.0,neutral,2021-2022
stu_MMPEO7609Y,2,A athlete,29.0,neutral,2021-2022
stu_MMPEO7609Y,16,watching hockey,47.0,neutral,2021-2022
stu_MMPEO7609Y,7,early to everything,43.0,none,2021-2022
stu_MMPEO7609Y,20,[POPULAR SKIING MOUNTAIN] :),29.0,neutral,2021-2022
stu_MMPEO7609Y,1,A friend/happy/caring,10.0,positive,2021-2022
stu_MMPEO7609Y,10,films/editing,27.0,neural,2021-2022
stu_MMPEO7609Y,3,a hard worker,41.0,positive,2021-2022
stu_MMPEO7609Y,19,watching baeball,47.0,neutralneutral,2021-2022
stu_MMPEO7609Y,19,watching baeball,29.0,neutralneutral,2021-2022
stu_MMPEO7609Y,14,going on very fast/big roller coasters,47.0,neutral,2021-2022
stu_MMPEO7609Y,12,going to new places,31.0,neutral,2021-2022
stu_MMPEO7609Y,13,seeing live sporting events,29.0,neutral,2021-2022
stu_MMPEO7609Y,17,watching soccer,47.0,neutral,2021-2022
stu_MMPEO7609Y,17,watching soccer,29.0,neutral,2021-2022
stu_MMPEO7609Y,4,"skier, snowboarder, and a surfer sometimes",29.0,neutral,2021-2022
stu_MMPEO7609Y,5,A math person,25.0,positive,2021-2022
stu_MMPEO7609Y,15,watching football,47.0,neutral,2021-2022
stu_MPFAT1157P,10,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,13,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,20,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,18,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,9,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,6,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,15,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,2,Student,14.0,neutral,2021-2022
stu_MPFAT1157P,5,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,14,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,11,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,4,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,17,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,1,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,16,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,8,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,3,Teenage girl,22.0,teenager,2021-2022
stu_MPFAT1157P,3,Teenage girl,2.0,girl,2021-2022
stu_MPFAT1157P,3,Teenage girl,4.0,teenager,2021-2022
stu_MPFAT1157P,7,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,12,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MPFAT1157P,19,[FIRST & LAST NAME],5.0,none,2021-2022
stu_MYPPF5696O,1,I love Soccer,29.0,positive,2021-2022
stu_MYPPF5696O,1,I love Soccer,24.0,positive,2021-2022
stu_MYPPF5696O,14,I love soccer,29.0,positive,2021-2022
stu_MYPPF5696O,14,I love soccer,24.0,positive,2021-2022
stu_MYPPF5696O,10,I love my best friend [FIRST NAME],10.0,positive,2021-2022
stu_MYPPF5696O,9,I love my best friend [FIRST NAME],10.0,positive,2021-2022
stu_MYPPF5696O,16,I love playing wing-back in soccer,29.0,positive,2021-2022
stu_MYPPF5696O,16,I love playing wing-back in soccer,24.0,positive,2021-2022
stu_MYPPF5696O,5,I love music,26.0,positive,2021-2022
stu_MYPPF5696O,5,I love music,24.0,positive,2021-2022
stu_MYPPF5696O,18,I have good grades and work hard,41.0,positive,2021-2022
stu_MYPPF5696O,18,I have good grades and work hard,14.0,positive,2021-2022
stu_MYPPF5696O,2,I love dogs,24.0,positive,2021-2022
stu_MYPPF5696O,6,Soccer is my life,29.0,positive,2021-2022
stu_MYPPF5696O,19,I strongly dislike math,25.0,negative,2021-2022
stu_MYPPF5696O,19,I strongly dislike math,24.0,negative,2021-2022
stu_MYPPF5696O,11,I love my best friend [FIRST NAME],10.0,positive,2021-2022
stu_MYPPF5696O,4,I love my sister,12.0,positive,2021-2022
stu_MYPPF5696O,8,I love La Jolla/Ventura,24.0,positive,2021-2022
stu_MYPPF5696O,15,I love soccer,29.0,positive,2021-2022
stu_MYPPF5696O,15,I love soccer,24.0,positive,2021-2022
stu_MYPPF5696O,13,I love acting,26.0,positive,2021-2022
stu_MYPPF5696O,13,I love acting,24.0,positive,2021-2022
stu_MYPPF5696O,20,I love soccer,29.0,neutral,2021-2022
stu_MYPPF5696O,20,I love soccer,24.0,positive,2021-2022
stu_MYPPF5696O,12,I love Soccer,29.0,neutral,2021-2022
stu_MYPPF5696O,12,I love Soccer,24.0,positive,2021-2022
stu_MYPPF5696O,7,I care about my grades,25.0,neutral,2021-2022
stu_MYPPF5696O,3,I love my parents,24.0,positive,2021-2022
stu_MYPPF5696O,3,I love my parents,12.0,neutral,2021-2022
stu_MYPPF5696O,17,I love talk to my friends,31.0,neutral,2021-2022
stu_MYPPF5696O,17,I love talk to my friends,10.0,neutral,2021-2022
stu_MYPPF5696O,17,I love talk to my friends,24.0,positive,2021-2022
stu_PTDFD3837B,18,I like listening to documentaries,31.0,positive,2021-2022
stu_PTDFD3837B,18,I like listening to documentaries,24.0,positive,2021-2022
stu_PTDFD3837B,15,I like playing baseball,29.0,positive,2021-2022
stu_PTDFD3837B,15,I like playing baseball,24.0,positive,2021-2022
stu_PTDFD3837B,5,I am 15 years old,4.0,15,2021-2022
stu_PTDFD3837B,8,I like reading books,25.0,positive,2021-2022
stu_PTDFD3837B,8,I like reading books,24.0,positive,2021-2022
